geom,name,osm_id,uic_ref
0101000020110F0000BB54F23202AC284197D68A6A5BC15641,Bienne Triage / Biel Rangierbahnhof,-2265209,8504340
0101000020110F0000AE02D8B649E32D416CE34933CBAA5641,Bergstation Sesselbahn Sternen,454632,8530408
0101000020110F00002297F52A6DF12C413D030F5FAAE75641,Güterbahnhof,455530,8591169
0101000020110F0000E99E7A31D43C2741806B45E5A6285641,Crosets,616814,8530751
0101000020110F00001408160C8437274198EB7D82B0295641,Mossettes,616940,8530078
0101000020110F0000265224BE654C27410D820034FE315641,Foilleuse,617262,8530070
0101000020110F000064944F58234F2741C31F52F428305641,Foilleuse,617264,8530071
0101000020110F0000DE26A5B59D412741857CAD6456285641,Croix-de-Culet,618088,8501450
0101000020110F000094F158C2294127411CE51C134F285641,Planachaux,618148,8501450
0101000020110F000026D6892635432641A38AA3C7F39C5641,Prise Milord - St. Sulpice,2085635,8579597
0101000020110F00005AF6A5A423DB2C4197112B505EE75641,Siemens,4366159,8591363
0101000020110F0000A2AAFA3F37422C410360FC3E767E5641,Triftbahn,8096185,8571603
0101000020110F0000EEECE088604F2C41FEEADF73E67F5641,Fuhren,8096208,8571605
0101000020110F00004DB7F4D5CE532C41437B9E093D805641,Tällibahn,8096209,8582258
0101000020110F0000326D41649F7A2C41F65C0E14D1805641,Saageli,8096332,8571606
0101000020110F0000ACF99AE21F812C41B23DDCF46E815641,Feldmoos,8096411,8571607
0101000020110F00007A9B17811DA12C41ED54C20312805641,Steingletscher,8096450,8508877
0101000020110F00001829513F8EE62C415CDEE307FE815641,Gorezmettlen,8096626,8580197
0101000020110F00005CED56079E482C41B915C572D86A5641,Kunzentännlein,8205538,8571613
0101000020110F00003652DBE63E822941BEC4038309855641,Stockern,9324140,8507900
0101000020110F0000D45F32BC7FB929413D2109E2005C5641,"Adelboden, Rainweg",9481282,8576319
0101000020110F0000A982E6F5396C2A41D7503CD4FF4B5641,Wiler,11399285,8507500
0101000020110F00008DC3A92E2A692A417F91E86B6F4D5641,Lauchernalp,11399290,8507460
0101000020110F00001FFFC2C4DD082A413AAFA66DC8575641,Kandersteg,11416005,8507262
0101000020110F0000D8184E5E8F192A418AAB3A06175B5641,Kandersteg,11417694,8507594
0101000020110F0000924088CEED252A416F887422CD5B5641,Bergstation Oeschinen,11417702,8507593
0101000020110F00001A6B46181D732941C6F75A155D9F5641,Hübeliweg,14384545,8577020
0101000020110F0000B74F2F9AE8762941D2191FB3319F5641,Waldried,14384548,8577021
0101000020110F0000E4082B2B7DCC2941708DAFB5A7035741,Kunstmuseum,19384201,8589336
0101000020110F0000A64129F356D42F411492049087EE5641,St. Gallen,19484791,8506302
0101000020110F000098061FE2626F2F419DF52AAEAEEC5641,Gossau SG,19485259,8506210
0101000020110F000018FD37F990052F41EAF6CCFEC3F05641,Uzwil,19485526,8506208
0101000020110F00007FF035E8A3B62E418C9DEF24D9F45641,Wil,19485633,8506206
0101000020110F00007D2884DA87572B41F945242B966F5641,Alpenblick,20599690,8594331
0101000020110F00000B047B0A75D52F4158BD9B8E93EE5641,Hauptbahnhof,21734559,8574095
0101000020110F000092C447347F312D415BAEC22C18A65641,Rütli,25369680,8508471
0101000020110F0000E4533A92E18A2D419E50D231FEF75641,Finken-Rain,25428760,8590940
0101000020110F0000361D175507CB2F41B792AB4281FB5641,Häggenschwil-Winden,25522992,8506395
0101000020110F0000DB24679930C32D4161124F9092FD5641,Wallrüti,25586596,8506038
0101000020110F0000F04D01629EBA2941DA03D70D03075741,St-Louis Grenze,26023979,8500138
0101000020110F00007D651A3CE8A930412B390F0E149C5641,Saas,26032230,8509065
0101000020110F000037EE0B830082304174CC0629999F5641,Jenaz,26032254,8509062
0101000020110F00009A0E588CE17D30412048CAE22FA15641,Furna,26032291,8509061
0101000020110F00002695858769623041D560AD34B7A75641,Grüsch,26032347,8509059
